ORG_ID,SUPPLIER_NAME,WATER_SYSTEM_ID,COUNTY,HYDRO_REGION,CLIMATE_ZONE,REPORT_PERIOD_START_DATE,REPORT_PERIOD_END_DATE,Shortage Level,DWR_STANDARD_LEVEL
1388,City of Lathrop,CA3910015,SAN JOAQUIN,San Joaquin River,12,3/1/24,3/31/24,0,0 (No Shortage Level Invoked)
1408,Temescal Valley Water District,CA3310074,RIVERSIDE,South Coast,10,3/1/24,3/31/24,1,1 (Less than 10% Shortage)
1415,City of Lemoore,CA1610005,KINGS,Tulare Lake,13,3/1/24,3/31/24,4,4 (30-39% Shortage)
1424,City of Lincoln,CA3110004,PLACER,Sacramento River,11,3/1/24,3/31/24,0,0 (No Shortage Level Invoked)
1425,Lincoln Avenue Water Company,CA1910063,LOS ANGELES,South Coast,9,3/1/24,3/31/24,3,3 (20-29% Shortage)
1427,Linda County Water District,CA5810002,YUBA,Sacramento River,11,3/1/24,3/31/24,0,0 (No Shortage Level Invoked)
1432,City of Lindsay,CA5410006,TULARE,Tulare Lake,13,3/1/24,3/31/24,NA,Not Applicable
1443,City of Livermore,CA0110011,ALAMEDA,San Francisco Bay,12,3/1/24,3/31/24,0,0 (No Shortage Level Invoked)
1444,City of Livingston,CA2410004,MERCED,San Joaquin River,12,3/1/24,3/31/24,NA,Not Applicable
1450,City of Lodi,CA3910004,SAN JOAQUIN,San Joaquin River,12,3/1/24,3/31/24,1,1 (Less than 10% Shortage)
1452,City of Loma Linda,CA3610013,SAN BERNARDINO,South Coast,10,3/1/24,3/31/24,0,0 (No Shortage Level Invoked)
1456,City of Lomita,CA1910073,LOS ANGELES,South Coast,6,3/1/24,3/31/24,1,1 (Less than 10% Shortage)
1459,City of Lompoc,CA4210006,SANTA BARBARA,Central Coast,5,3/1/24,3/31/24,2,2 (10-19% Shortage)
1464,City of Long Beach,CA1910065,LOS ANGELES,South Coast,6,3/1/24,3/31/24,1,1 (Less than 10% Shortage)
1473,Los Angeles City Department of Water And Power,CA1910067,LOS ANGELES,South Coast,9,3/1/24,3/31/24,2,2 (10-19% Shortage)
